,Unnamed: 0,title,company,description,location,state,salary,jobtype,skill,degree
705,708,Data Scientist,,"
            Develop creative solutions to diverse problems including engineering challenges, unstructured <b>data</b> messes, ontology development, and ML applications. Must have a   BACHELOR  's degree and 8 years of experience. WFH.
        ",US National,US National,,100% Remote Job,ML,BACHELOR
709,712,Data Scientist,,"
            Focus on interpreting <b>data</b>, conducting analysis, develop models, extract key findings and <b>data</b>, define metrics, identify opportunities and evaluate A/B tests. Strong PYTHON skills and <b>data</b> pipelining experience is needed. Full-time option for remote.
        ",US National,US National,,Option for Remote Job,PYTHON,
710,713,Data Scientist,,"
            Conducts experiments, performs <b>data</b> analysis, architects ML systems, &amp; designs metrics. Must have a relevant  MASTER  or equivalent experience. ML expertise is required. Teleworking is in place until at least July 2021.
        ","San Francisco, CA",CA,,Remote - During Pandemic Job,ML,MASTER
713,716,Data Scientist,,"
            Analyze <b>data</b> and reporting to build platform solutions, partner with development teams to understand goals, utilize ML to provide modeling and insight, and conduct research for stakeholders. Requires  BACHELOR  and SQL proficiency. Remote role.
        ",US National,US National,,100% Remote Job,"ML,SQL",BACHELOR
715,718,Data Engineer,,"
            Design and build software, provide <b>data</b> VISUALIZATION and analysis, and troubleshoot products when needed. Requires BA, 2 years' experience, and programming knowledge. Full-time, flexible hours available.
        ","New York, NY",NY,,Flexible Schedule Job,VISUALIZATION,
726,729,Data Scientist,,"
            One-year contract position working remotely at the present time due to the virus. Provide technical consulting and support big <b>data</b> platform and advanced analytics solutions. Must have 5 years of experience, strong R PYTHON skills, and preferably a BS.
        ","Richmond, VA",VA,,Remote - During Pandemic Job,"PYTHON,R",
730,733,Data Scientist,,"
            The sr. <b>data</b> scientist will be developing core models for the platform, creating experiments, and addressing <b>data</b> infrastructure needs. Remote flexibility is available. Must have three to five years' exp. creating ML solutions for   BACHELOR  ness problems.
        ","Washington, DC",DC,,Option for Remote Job,ML,BACHELOR
734,737,Data Analyst,,"
            Conduct analysis on marketing <b>data</b> to support cloud-native, distributed SQL data  BACHELOR  s. Create strategy, evaluate campaign performance, and give recommendations. Must have 4 years of <b>data</b> analysis experience. Flexible and remote hours offered.
        ","New York, NY, San Francisco, CA","NY,CA",,Option for Remote Job,SQL,BACHELOR
736,739,Data Analyst,,"
            The <b>data</b> analytics engineer will build automated VISUALIZATIONs &amp; models, develop ETL processes, support <b>data</b> storytelling, &amp; create reporting solutions. Requires experience with Microsoft BI tools, MASTER SQL development, &amp; DAX programming. Remote role.
        ",US National,US National,,100% Remote Job,SQL,MASTER
739,742,Data Scientist,,"
            Position with the option to work remotely for a staff <b>data</b> scientist. Will define success metrics, build tools to monitor KPIs, develop <b>data</b> foundation, experimentation and ML capabilities, and collaborate on the roadmap. Need relevant exp.
        ",US National,US National,,Option for Remote Job,ML,
746,749,Data Engineer,,"
            Implement the <b>data</b> pipeline cloud, manage the cloud architecture, and mentor the team. Must have at least 5 years' experience developing/managing scalable <b>data</b> pipelines in the cloud and 4+ years' ML engineering experience. Remote options.
        ","New York, NY",NY,,Option for Remote Job,ML,
747,750,Data Analyst,,"
            Campaign <b>Data</b> Analyst is needed for a remote opportunity. The candidate will conduct STATISTICSal research and analysis in support of clients. Must possess strong SQL and Exel skills.   BACHELOR  's degree and prior related experience required.
        ",US National,US National,,100% Remote Job,SQL,BACHELOR
754,757,Data Analyst,,"
            Full-time job, remote during pandemic. Needs a   BACHELOR  's degree and three years' analytics experience. Execute <b>data</b> analytics services supporting the audit department, identify and recommend tools and software to improve program and write SQL queries.
        ","Newton Square, PA",PA,,Remote - During Pandemic Job,SQL,BACHELOR
757,760,Data Scientist,,"
            Develop new ideas into AI/ML-driven products using the company's wealth of natural and organic retailer <b>data</b>. Must have 4+ years of experience using PYTHON in a retail analytics context. Full-time, remote position.
        ","Chicago, IL",IL,,Remote - During Pandemic Job,PYTHON,
773,776,Data Scientist,,"
            Seeking a <b>data</b> scientist who has operations/supply chain domain exp. &amp; a relevant degree. Job duties will include developing &amp; operationalizing projects, creating analytical capabilities using SQL or PYTHON programming, &amp; analyzing <b>data</b>. Remote position.
        ",US National,US National,,100% Remote Job,"PYTHON,SQL",
774,777,Data Engineer,,"
            Develop and refine core components of the ML Platform. Build and maintain production-level PYTHON li  BACHELOR  ies. Must have experience in <b>data</b> engineering, software engineering, MLOps, <b>data</b> <  BACHELOR  ience</b>, or research. Full-time, remote position.
        ",US National,US National,,Option for Remote Job,"PYTHON,ML",BACHELOR
779,782,Data Scientist,,"
<b>Data</b> Scientist is needed for a remote role. He/She will frame and conduct complex exploratory analyses. Must be able to use ML and Big <b>Data</b> tools on large <b>data</b> sets.   BACHELOR  's degree and prior related experience required.
        ",US National,US National,,100% Remote Job,ML,BACHELOR
785,788,Data Analyst,,"
            Full-time position. Will define metrics, interface with staff, create VISUALIZATIONs, provide information and solicit feedback. 4+ years' related VISUALIZATION performant building experience required. BigQuery SQL knowledge needed. Remote option.
        ",US National,US National,,Option for Remote Job,"VISUALIZATION,SQL",
791,794,Data Scientist,,"
            Engage closely with product teams to fully understand problems, evaluate and select the proper datasets for unsupervised/supervised ML problems, and research and develop ML methods. Remote opportunity. 
        ",US National,US National,,100% Remote Job,ML,
795,798,Data Engineer,,"
            Full-time job, remote option. Needs strong experience in <b>data</b> engineering and strong PYTHON programming background.Build and maintain production level PYTHON li  BACHELOR  ies, drive   BACHELOR   practices in version control, leverage open source tools, drive initiative.
        ",US National,US National,,Option for Remote Job,PYTHON,BACHELOR
796,799,Data Analyst,,"
            Remote job for candidate who will create and execute ad hoc research requests, manage and become a subject matter expert on longitudinal surveys, design samples, and manage SQL queries for the team. BA/BS degree and 1-3 years' <b>data</b> analysis exp. req.
        ",US National,US National,,100% Remote Job,SQL,
799,802,Data Analyst,,"
            Remote position will measure the performance of paid marketing campaigns, own marketing/growth funnels, identify/analyze key trends/patterns, and design/communicate results of growth experiments. Need experience with <b>data</b> VISUALIZATION tools.
        ",US National,US National,,100% Remote Job,VISUALIZATION,
800,803,Data Scientist,,"
            Remote job for candidate who will use   BACHELOR   practices to develop STATISTICSal ML techniques to build models that address needs and communicate results of modeling techniques to the team. MASTER  degree and 3 years' exp. preferred. $95k/year.
        ",US National,US National,,100% Remote Job,ML,"BACHELOR,MASTER"
806,809,Data Scientist,,"
            Use ML and appropriate techniques to develop <b>data</b>-driven solutions for   BACHELOR  ness use cases with external partners, lead the analysis and mining of large quantities and mentor and assist in supervising <b>data</b> scientists. Remote opportunity.
        ",US National,US National,,100% Remote Job,ML,BACHELOR
816,819,Data Scientist,,"
            Position with the option for work remotely for a senior <b>data</b> scientist, ML. Will develop/implement ML algorithms and personalization products, help identify new opportunities, and derive insights. Need  MASTER  and three years' exp.
        ","New York, NY, or US National",NY,,Option for Remote Job,ML,MASTER
821,824,Data Analyst,,"
            Full-time role with remote option will maintain marketing data  BACHELOR  , collaborate with program managers, troubleshoot <b>data</b> issues, and serve as data  BACHELOR     BACHELOR  ness analyst.   BACHELOR  's degree &amp; knowledge of SQL required. 5 years' experience preferred.
        ",US National,US National,,Option for Remote Job,SQL,BACHELOR
837,840,Data Analyst,,"
            Conduct analysis on   BACHELOR  ness intelligence and create digital quality systems that solve problems and meet requirements. Must have a  BACHELOR  and 5 years of relevant experience including VISUALIZATION development and metric management. Remote with some travel.
        ",US National,US National,,Partial Remote Job,VISUALIZATION,BACHELOR
840,843,Data Analyst,,"
            Work-at-home position designing, building, and analyzing master <b>data</b> to support   BACHELOR  ness decisions. Handle complex <b>data</b> projects and client expectations. Must have 4 years of full lifecycle MDM experience, a  BACHELOR  in computer <  BACHELOR  ience</b>, and SQL skills.
        ","Canada, Mexico, or US National",US National,,Option for Remote Job,SQL,"BACHELOR,MASTER"
858,861,Data Analyst,,"
            Virtual role. Manage marketing programs, drive membership and customer growth, generate ideas for new content, support   BACHELOR  ness decision-making, and build <b>data</b> reporting tools. Requires BA, SQL proficiency, and 1 year <b>data</b> analyst experience.
        ",US National,US National,,100% Remote Job,SQL,BACHELOR
874,877,Data Analyst,,"
            Candidate will analyze <b>data</b>, create VISUALIZATIONs, conduct QA, provide actionable reporting, use 3rd party <b>data</b> VISUALIZATION tools, and implement custom marketing VISUALIZATION concepts. BA/BS degree and 2 years' Google Analytics exp. req. Temporary job.
        ","Orlando, FL",FL,,Temporary Job,VISUALIZATION,
882,885,Data Analyst,,"
            Build a custom script in SQL and PYTHON and handle integrations and edge cases, analyze <b>data</b> from the company software, and design and execute test scenarios and scripts. A   BACHELOR  's degree and 3+ years of experience is needed. Remote position.
        ","Houston, TX",TX,,100% Remote Job,"PYTHON,SQL",BACHELOR
932,935,Data Analyst,,"
            F/T marketing analyst needed to collaborate with stakeholders to determine important analytics needed to drive growth.   BACHELOR  's degree, 2-4 years in marketing analytics or another quantitative role, and SQL and Excel fluency required. Remote option.
        ","New York, NY",NY,,Option for Remote Job,SQL,BACHELOR
936,939,Data Analyst,,"
            Lead the monitoring and optimization of marketing metrics. Prepare insightful reports that support   BACHELOR  ness strategy. Requires strong analytical skills, SQL knowledge, and 8+ yrs' experience. Work from home full-time with benefits. 
        ",US National,US National,,100% Remote Job,SQL,BACHELOR
951,954,Data Analyst,,"
            Searching for a remote   BACHELOR  ness Intelligence Analyst with a  BACHELOR  and 3+ yrs of direct experience to help consumers improve energy usage by improving appliance efficacy. Will also need 2+ yrs in Looker or similar and advanced SQL skills are required. 
        ",US National,US National,,100% Remote Job,SQL,BACHELOR
961,964,Data Analyst,,"
            F/T   BACHELOR  ness systems analyst needed to listen to and support our customers' needs and translate these to accurate requirements. 5-7 years of continuous SDLC experience and experience creating complex SQL queries required. Remote during the pandemic. 
        ","North Chicago, IL",IL,,Remote - During Pandemic Job,SQL,BACHELOR
984,987,Data Analyst,,"
            Work from home and take ownership of analytic and ML product development, build net-new products to drive customer value and work with growth, marketing, and the solutions team to understand customer and market needs. 
        ",US National,US National,,100% Remote Job,ML,
