,title,company,description,location,state,salary,jobtype,skill,degree
297,Data Scientist,Deloitte,"In this role, you will specialize in and provide expertise in data analytics, data science/engineering, and data management.","Washington, DC",DC,,,,
298,Data Analyst,Earnest,Create data pipelines and ETLs using SQL into Earnest's single source of truth data warehouse. Query and analyze large datasets to run data quality and…,California,CA,,,SQL,
299,Data Analyst,"Honda R&D Americas, Inc.",Experience with common data science toolkits such as R & PYTHON. Ensure data integrity through testing of results. Proficient using query languages such as SQL.,"Raymond, OH",OH,,,R,
300,Data Analyst,Penn Mutual Life Insurance,Analyzes   BACHELOR  ness data and works with other team members to assist in planning future audits by gathering data and performing analytics.,"Horsham, PA",PA,,,,BACHELOR
301,Data Analyst,Housecall Pro,You will foster a culture of data-driveness through experimentation and data governance. You will work along the entire analytics value chain; starting with raw…,"San Diego, CA +1 location",CA,,,,
302,Data Scientist,Spotify,Perform analysis on large sets of data to extract impactful insights that will help drive product decisions. Possess STATISTICSal competence (such as regression…,"New York, NY",NY,,,,
303,Data Engineer,Cisco Systems,"You will work on data migrations and transformational projects, to design large-scale data processing systems, develop data pipelines optimized for scaling, and…","Durham, NC",NC,,,,
304,Data Analyst,Google,"Improve tools through data analysis, technical expertise, and presentations to key stakeholders. Perform data analyses to derive insights that help to identify…","New York, NY",NY,,,,
305,Data Analyst,Blue Moon Digital,Create data VISUALIZATIONs via VISUALIZATIONing and other custom reports. This role supports others on the team while learning to assess online data collection…,"Denver, CO",CO,"$50,000 - $55,000 a year",,,
306,Data Scientist,OPTiMO Information Technology,Determine optimal data sets and variables. Experience visualizing/presenting data for stakeholders. 5+ years experience handling data for ML.,"Washington, DC",DC,,,,
307,Data Analyst,Ford Motor Company,"Develop   BACHELOR  ness cases and data analysis for key projects. Proficiency with Excel, and other financial systems, and data analytics tools.","Dearborn, MI",MI,,,,BACHELOR
308,Data Analyst,TradeRev,Supporting our data science teams with deploying data models. Support data discovery and data governance by maintaining data dictionaries and data lineage.,"Indianapolis, IN +1 location",IN,,,,
309,Data Scientist,Cerebral,Transform real-world data into actionable insights using ro  BACHELOR   STATISTICSal methods and compelling data VISUALIZATIONs in formats accessible to a wide range of…,Texas,TX,,,,BACHELOR
310,Data Analyst,Google,Expertise in decision science and creating engaging data VISUALIZATIONs that drive decision-making. Influence teams towards data-informed decision-making and…,"Chicago, IL",IL,,,,
311,Data Analyst,ADT Security Services,"Finance and data science: 3 years (Required). Additionally, Cloud-platform data mining skills are a plus. Key functions of the Manager’s role are to leverage…","Boca Raton, FL",FL,,,,
312,Data Analyst,YieldX,"An   BACHELOR   in computer science, mathematics, STATISTICSs, data science, or a similar quantitative field of study required.","New York, NY",NY,,,,BACHELOR
313,Data Scientist,VertMarkets,"Familiarity with graphical presentations of data. Love analyzing big, messy data to uncover key insights. Analyze data on an account-  BACHELOR  d level and identify…","Cranberry Township, PA",PA,,,,BACHELOR
314,Data Analyst,"Chairish, Inc.","Familiarity with data engineering, data design and ETL. Partner closely with   BACHELOR  ness stakeholders and other data teams to improve platform capabilities around…","San Francisco, CA",CA,,,,BACHELOR
315,Data Analyst,City of Virginia Beach,"As we lead the City’s digital transformation, IT seeks candidates with backgrounds in information technology, data science,   BACHELOR  ness, design thinking, art and…","Virginia Beach, VA",VA,,,,BACHELOR
316,Data Analyst,The Voleon Group,An interest in programming and data analysis / data science. Help drive continuous improvements to data quality procedures and a consistent approach to how data…,"Berkeley, CA",CA,,,,
317,Data Analyst,Booz Allen Hamilton,"Experience with data science, operations research, or modeling and simulation tools and methods. Prepare and conduct elementary analytic work on the collection…","Arlington, VA",VA,,,,
318,Data Scientist,Cardinal Intellectual Property,Research and implement new image search models and improvements to existing ones using big data to solve real-world problems. Experience with Docker is a plus.,"Evanston, IL",IL,,,,
319,Data Scientist,"The Air-Conditioning, Heating, and Refrigeration Institute (AHRI)","With a focus on in-depth data analysis, data manipulation (ETL), modeling, and testing by using open-source tools/packages.","Arlington, VA",VA,"$100,000 - $117,500 a year",,,
320,Data Scientist,Invent Analytics,"Engineers and data scientists to develop advanced forecasting and optimization solutions. Performing assigned tasks as part of the project team, working…","Philadelphia, PA",PA,,,,
321,Data Scientist,"CGFNS International, Inc.","This new role will be responsible for identifying relevant data sources, tools (ML/AI/Predictive analytics) and infrastructure to enable data science activities…","Philadelphia, PA",PA,,,,
322,Data Scientist,AvalonBay Communities,"Experience with data VISUALIZATION tools. Experience merging and analyzing large, diverse data sources. Provide data driven insights to Senior Management that…","Arlington, VA",VA,,,VISUALIZATION,
323,Data Analyst,Platform Science,"Apply your expertise in quantitative analysis, data VISUALIZATION and data-mining to create data alerts and derive actionable insights.",California,CA,,,VISUALIZATION,
324,Data Analyst,"High Performance Technologies, Inc. (HPTech)","  BACHELOR  ’s degree in mathematics, STATISTICSs, economics, computer science, data science or information management.","McLean, VA",VA,,,,BACHELOR
325,Data Analyst,Google,"Experience in data analysis, or working as a data scientist, a  BACHELOR   analyst or law enforcement investigator. You will solve problems across data sets, bringing…","Mountain View, CA",CA,,,,BACHELOR
326,Data Scientist,University of Kentucky,The Department of BioSTATISTICSs seeks a biomedical data scientist with expertise in bioSTATISTICSal consulting and analysis of biomedical data including clinical…,"Lexington, KY",KY,"$54,142 - $89,315 a year",,,
327,Data Analyst,Google,"You weave stories with meaningful insight from data. Experience with articulating product questions, pulling data from datasets (SQL) and using STATISTICSs to…","New York, NY",NY,,,,
328,Data Analyst,LendingPoint Consolidated Inc,"Knowledge of advanced STATISTICSal modeling, testing, data mining, ETL, and data science techniques. Assess the effectiveness and accuracy of new data sources…","Kennesaw, GA",GA,,,,
329,Data Engineer,Digital Dhara,"Understanding on data  BACHELOR  s, data warehouses, data lakes. Design, build and maintain data processing pipelines. Good communication and cross functional skills.","Santa Clara, CA",CA,$50 - $55 an hour,,,BACHELOR
330,Data Analyst,A. O. Smith Corporation,"Promote data literacy and a data driven decision culture. Must know when and where to use appropriate data; recognize when data is misleading, misrepresented or…","Nashville, TN",TN,"$82,000 - $112,000 a year",,,
331,Data Analyst,Gubagoo Inc.,At least one year of experience in data analytics / data science. Utilize data to illustrate   BACHELOR  ness trends and identify areas of opportunity.,"Boca Raton, FL",FL,,,,BACHELOR
332,Data Analyst,The West River Group,"Analyze data to identify and interpret patterns and trends, assess data quality and eliminate irrelevant data; present findings in reports and presentations in…","Chantilly, VA",VA,$56.48 an hour,,,
333,Data Analyst,CENTRA Technology,Demonstrated ability to extract data contained in large data  BACHELOR  s and analyze that data to derive meaningful information.,"Bethesda, MD",MD,,,,BACHELOR
334,Data Analyst,Educational Federal Credit Union,"Knowledgeable with data analytics, data science, and STATISTICSal reporting concepts and   BACHELOR   practices. The ability to extract, transform, and load (ETL) data…","Miami, FL",FL,,,,BACHELOR
335,Data Scientist,Trustpage,Data mining unstructured data sources. Gathering and extracting data from third party sources. Enhancing data collection procedures to include information that…,"Detroit, MI",MI,"$90,000 - $125,000 a year",,,
336,Data Analyst,Luxoft,Contribute to data models and designs for the data warehouse. Our Data Strategy and Operations team is focused on implementing and evolving client's investment…,"Los Angeles, CA",CA,,,,
337,Data Scientist,BTAS,"Apply data to develop and provide analytical support to all levels of management. Create, develop, and/or apply existing tools and techniques to conduct data…","Hampton, VA",VA,,,,
338,Data Scientist,SMS group Inc,"1-2 years of experience in applied artificial intelligence technologies including ML, predictive data analytics, and/or data science.","Pittsburgh, PA",PA,,,,
339,Data Analyst,"US Air Force Elements, U.S. Transportation Command","Determining sources of data, plans, and using advanced predictive analysis, data VISUALIZATION, modeling, ML, and data science methods to validate…","Scott AFB, IL",IL,"$93,494 - $121,543 a year",,,
340,Data Scientist,Technica Corporation,Research and analyze cutting edge algorithms and technologies with a focus on Natural Language Processing and data VISUALIZATION techniques.,"Sterling, VA +1 location",VA,,,VISUALIZATION,
341,Data Scientist,FanDuel,"A minimum of 1 year of Industry Experience in data science, analytics or engineering preferred.   BACHELOR  's Degree in a highly numerate major (Math, Stats, Econ,…","New York, NY",NY,,,,BACHELOR
342,Data Analyst,Hendall Inc.,"  BACHELOR  ’s degree in math, STATISTICSs, data science, computer science, or related fields. Conduct routine ad hoc data runs and prepare write-ups in response to…","Rockville, MD",MD,,,,BACHELOR
343,Data Scientist,RedSail Technologies,Familiarity with data management tools. Building tools to automate data collection. Correlating similar data to find actionable results.,"Spartanburg, SC",SC,,,,
344,Data Analyst,Facebook,"Experience manipulating large data sets in SQL or equivalent, and drawing actionable insights from data. Oversee data and metric governance for fraud, system,…","Austin, TX",TX,,,SQL,
345,Data Scientist,Analatom Inc.,"Demonstrate data science capabilities through understanding and application of the math, STATISTICSs and ML to build software prototypes   BACHELOR  d on…","Santa Clara, CA",CA,"$97,396 - $219,957 a year",,ML,BACHELOR
346,Data Scientist,Logistics Management Institute,"Data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics. 0–4 years of experience in the field.","Tysons, VA",VA,,,,
347,Data Engineer,Branch,Create and maintain services for data science products (includes real time data application as well as ML pipeline). Fluent in SQL and PYTHON.,Minnesota,MN,,,"ML,SQL",
348,Data Analyst,Major League Baseball,Proficiency in quantitative data collection and data analysis using SQL is required. Experience with data science and STATISTICSal concepts such as regression…,"New York, NY",NY,,,SQL,
349,Data Analyst,Georgia Tech Research Institute,The Advanced Computing and Artificial Intelligence Division at GTRI's Information and Communications Lab (ICL) currently seek students to start Fall 2021 who…,"Atlanta, GA",GA,,,,
350,Data Analyst,AAA Ohio Auto Club,"  BACHELOR  s’ degree in marketing, STATISTICSs, data science or   BACHELOR  ness administration. 3+ years’ in marketing and data analytics. VISUALIZATION: 2 years (Preferred).","Worthington, OH +1 location",OH,"$60,000 - $65,000 a year",,,BACHELOR
351,Data Scientist,Eleven Fifty Academy,Building tools to automate data collection. Present information using data VISUALIZATION techniques. Correlating similar data to find actionable results.,"Indianapolis, IN",IN,,,VISUALIZATION,
352,Data Scientist,Gridiron IT,"4+ relevant experience within data science or analysis. Perform data studies and data discovery routines for video, voice, weblog, sensor, machine and social…","Oakton, VA",VA,,,,
353,Data Analyst,"Valent BioSciences, LLC","A  MASTER  in STATISTICSs, data science, mathematics, engineering,   BACHELOR  ness or related discipline is preferred. Data VISUALIZATION: 3 years (Preferred).","Libertyville, IL",IL,,,,"BACHELOR,MASTER"
354,Data Analyst,Corvid Technologies LLC,"Minimum of 2 years working experience in technical data analysis, data science, or data warehousing with proven   BACHELOR  ness analysis experience.","Mooresville, NC",NC,,,,BACHELOR
355,Data Analyst,Mid-Atlantic Permanente Medical Group PC,"Prior healthcare data analysis experience is preferred. The Data Analyst position assists MAPMG in making strategic data-related decisions by analyzing,…","Rockville, MD",MD,,,,
356,Data Engineer,Rothman Institute,"The Data Engineer will work collaboratively with the data science team to develop large-scale pipelines to organize, collect and standardize data that helps…","Philadelphia, PA",PA,,,,
357,Data Analyst,General Motors,Data Engineers build industrialized data assets and optimize data pipelines in support of   BACHELOR  ness Intelligence and Advance Analytic objectives.,"Warren, MI +1 location",MI,,,,BACHELOR
358,Data Analyst,U.S. Bank,"Hands on experience working with large data sets, including STATISTICSal analysis, data cleansing/transformation, data VISUALIZATION and data mining.","Palo Alto, CA",CA,"$103,615 - $121,900 a year",,VISUALIZATION,
359,Data Scientist,General Dynamics Information Technology,"Must be able to both manage and manipulate large data sets, develop data science approaches, and manage data science tasks.","Tampa, FL +2 locations",FL,,,,
360,Data Scientist,Atlantisitgroup,"2+ years of hands on experience with data warehouse, BI reporting testing experience using tools like VISUALIZATION, Snowflake, Netezza, MicroStrategy.","Houston, TX",TX,"$72,849 - $186,434 a year",,,
361,Data Analyst,Bugcrowd,Knowledge and experience applying common data science methods. Develop data roadmap   BACHELOR  d on current state survey of current data sets.,Utah,UT,,,,BACHELOR
362,Data Analyst,Central Intelligence Agency,"Working with large data sets and analyzing data from various sources. Human Resources processes and data. Interpreting, presenting and explaining data.","Washington, DC",DC,"$70,150 - $127,885 a year",,,
363,Data Scientist,Oscar Health,You use data science tools like SQL and PYTHON. You will report into a data science leader (Senior Data Scientist or above). We need your help to do so.,"New York, NY",NY,,,SQL,
364,Data Scientist,Equifax,"Equifax is seeking a Data Scientist who will be responsible for developing, managing and delivering analytical solutions through data analysis and data science…","Atlanta, GA",GA,,,,
365,Data Scientist,"Servpro Industries, LLC",Perform data exploration and data mining. We are looking for individuals who are passionate about data science and are intellectually curious.,"Gallatin, TN",TN,,,,
366,Data Analyst,VB,"Perform hands-on work with data analysis, data VISUALIZATION, data validation and quality assurance, while working as a full-time on-site staff at the customer…","Washington, DC +1 location",DC,"$73,530 - $115,000 a year",,,
367,Data Engineer,ReUp Education,"Along the way, you’ll help improve inefficiencies, ensure we follow   BACHELOR   practices around data, and work on interesting data science projects in areas like…","San Francisco, CA",CA,,,,BACHELOR
368,Data Scientist,Explorium,"Explorium offers a first of its kind data science platform powered by augmented data discovery and feature engineering. Remote position, Various locations, US.","New York, NY",NY,,,,
369,Data Engineer,Bankers Healthcare Group,"Build enterprise data assets that will be used for reporting, analytics, and data science. Mentor other data engineers and analysts in data engineering   BACHELOR  …","Fort Lauderdale, FL",FL,,,,BACHELOR
370,Data Scientist,Posh Peanut Inc.,Experience with data science tool kits. Identifies data patterns and trends. Participates and provides product guidance over data science and analytics…,"Glendale, CA",CA,$38 - $40 an hour,,,
371,Data Scientist,HS Ad North America," A   BACHELOR  ’s degree in any of the following areas - STATISTICSs, data science, physics, computer science or social sciences heavy in quantitative methodologies…","Englewood Cliffs, NJ",NJ,"$75,000 - $115,000 a year",,,BACHELOR
372,Data Scientist,Triangulate Labs,Triangulate Labs is looking for a Data Science Engineer who will work closely with our technically minded founders to build and validate predictive analytics…,"Cincinnati, OH",OH,,,,
373,Data Scientist,Elutions,Perform exploratory data analysis and STATISTICSal modelling with high quality data handling techniques. Ability to work with unstructured data.,"Delafield, WI +1 location",WI,,,,
374,Data Scientist,CORMAC,"Having data analysis background in health-related data is a plus. Design and develop a ML platform to train, manage data, evaluate, deploy models…",United States,US National,,,ML,
375,Data Analyst,Central Jersey Family Health Consortium,"The Senior Data Analyst provides data management, data analysis, and development of data VISUALIZATIONs for all assigned evaluation and quality improvement…","North Brunswick, NJ",NJ,"$55,000 - $60,000 a year",,,
376,Data Analyst,Alion Science and Technology,"Degree should be in political science, foreign policy and national security, or data science for political science Other public affairs and international…","Alexandria, VA",VA,,,,
377,Data Analyst,USAA,"Utilizes an intermediate understanding of multiple data structures and sources to lead the development and implementation of   BACHELOR  ness intelligence solutions,…","Plano, TX",TX,,,,BACHELOR
378,Data Scientist,Specific Diagnostics,The development of data-driven VISUALIZATION tools for the explorative analysis of high-dimensional data. Algorithm development for decisions and measurements…,"Mountain View, CA",CA,,,VISUALIZATION,
379,Data Analyst,Booz Allen Hamilton,Ability to summarize open source data into various finished intelligence products. You’ll gain an understanding of various collection platforms as you explore…,"McLean, VA",VA,,,,
380,Data Analyst,Codoxo,"We are seeking a talented Data Analyst with experience in data mining, STATISTICSal data analytics, and reporting.","Atlanta, GA",GA,,,,
381,Data Analyst,CKE Restaurant Holdings,Defines data requirements and identifies both existing and new data sources and methodologies. This position is primarily responsible for providing analysis and…,"Franklin, TN",TN,,,,
382,Data Analyst,Spotify,"Develop and articulate data stories and show them to your stakeholders. Crafting effective intelligent benchmarks, understanding performance, caring about data…","New York, NY",NY,,,,
383,Data Analyst,Government Executive Media Group LLC,"1-3 years post-undergraduate or graduate experience in data science, analytics, data storytelling, or related research experience.","Washington, DC",DC,,,,
384,Data Scientist,Parkview Health,"Analyzes and models structured data and implements algorithms to support analysis using advanced STATISTICSal and mathematical methods from STATISTICSs, machine…","Fort Wayne, IN",IN,,,,
385,Data Scientist,Weber Shandwick,"Build data pipelines and deploy data integration solutions. Work with data providers, client data owners and design teams to create the technical specifications…","New York, NY",NY,,,,
386,Data Scientist,BrainStation,Actively work on writing and researching new content to teach the most up to date skills in data science to our students. Experience building and leading teams.,"New York, NY +1 location",NY,,,,
387,Data Analyst,Apptrics LLC,"  BACHELOR  ’s degree in computer science, data science, STATISTICSs or at least 4 years additional experience in data science, STATISTICSs or a similar role.","New York, NY",NY,,,,BACHELOR
388,Data Scientist,DataRobot,4-5+ years of real-world   BACHELOR  ness experience in a data science role. Familiarity with data platform technology integrations.,Connecticut,CT,,,,BACHELOR
389,Data Scientist,CACI,3-7 years of experience with data science using STATISTICSal languages such as R to manipulate data and draw insights from large data sets.,"Dahlgren, VA +4 locations",VA,,,R,
390,Data Analyst,Ipsos North America,"You have a strong interest in data science and quantitative analytics, with an emphasis on marketing mix modelling, pricing and promotion analytics, forecasting…","New York, NY +1 location",NY,,,,
391,Data Analyst,Fund For Public Health In New York Inc, Supervise data analysts fulfilling requests for data or reports made by DOHMH leadership. We are seeking to fill one senior data analyst position in the COVID…,"Long Island City, NY",NY,"$84,468 - $97,138 a year",,,
392,Data Scientist,PIÑATA SCIENCES,This data driven individual will work to support our data science team to deliver scalable solutions that provide real-word   BACHELOR  ness value.,"Boston, MA",MA,,,,BACHELOR
393,Data Scientist,GEICO,You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.,"Chevy Chase, MD",MD,,,,
394,Data Scientist,Microsoft,"4+ years of relevant professional experience in advanced analytics, software engineering, or data science roles.","Redmond, WA",WA,,,,
395,Data Engineer,Benefit Recovery Group,"Understanding of data structures, data modeling and software architecture. If you also have knowledge of data science and software engineering, we’d like to…","Atlanta, GA +2 locations",GA,,,,
396,Data Analyst,Democratic Attorneys General Association,"Structure and design data VISUALIZATIONs to communicate data to internal stakeholders, campaigns, and strategic partners.","Washington, DC",DC,"$50,000 - $60,000 a year",,,
397,Data Scientist,Conduent,"The successful candidate will be expected to work with a diverse set of data sources, such as time series data, spatial, gra  PHD  ata, semi-structured and…","Morrisville, NC +2 locations",NC,,,,PHD
398,Data Analyst,Graphika,"Common data science li  BACHELOR  ies and toolkits. (Alternative to the above) Experience and background in social media analysis including network graphing tools,…",New York State +1 location,NY,,,,BACHELOR
399,Data Engineer,Invesco,"1-2 years of experience in data modeling, data warehousing, and big data architectures. Build ro  BACHELOR   data pipelines using modern data engineering technology…","Atlanta, GA",GA,,,,BACHELOR
400,Data Scientist,Aunalytics,"Prior research or development experience working with data, solving problems with data, and experience building advanced analytic models.","South Bend, IN",IN,,,,
401,Data Analyst,KYMadvisors,"Experience with advanced analytics solutions (data science, ML, data modeling, etc.). Including infrastructure (e.g., data engineering) nice-to…","Camp Springs, MD",MD,"$90,000 - $120,000 a year",,,
402,Data Engineer,"PONDURANCE, LLC","Scripting languages and data science experience, PYTHON, Ruby, etc. Data science and ML experience. Familiarity with message queues, Kafka.","Indianapolis, IN",IN,,,ML,
403,Data Engineer,Luxoft,"Analyse data sources, and acquire data. Create data pipelines, and integrate to final data destinations. In particular, you will be developing the means to…","New York, NY",NY,,,,
404,Data Engineer,PayPal,"Collaborate with x-functional teams to translate   BACHELOR  ness challenges into data science problems, transform data into analytical data assets, data products and…","San Jose, CA",CA,,,,BACHELOR
405,Data Scientist,Pluto TV,1 to 3 years of commercial experience in a data analyst or data scientist role. Providing data analysis and recommendations to the   BACHELOR  ness group to make…,"New York, NY +1 location",NY,,,,BACHELOR
406,Data Scientist,Solvay,Stay abreast of advances in data science and modeling techniques applicable to the industrial field. The Data Scientist will contribute and lead data science…,United States +1 location,US National,,,,
407,Data Scientist,LendingHome,"Identify, research, and analyze new data sources that complement and enrich the quality of the data platform. Define, create, and improve metrics and VISUALIZATIONs…","San Francisco, CA",CA,,,,
408,Data Scientist,Truist Financial,"Extract and evaluate information gathered from multiple sources, resolve data conflicts and customize communication of key data findings to diverse audiences.","Charlotte, NC",NC,,,,
409,Data Analyst,"ShipMatrix, Inc.","Additionally, data analyst will work with external   BACHELOR  ness users to identify data transformation or system interface requirements, analyze data from existing …","Warrendale, PA",PA,,,,BACHELOR
410,Data Scientist,Vanderbilt University Medical Center,Work closely with research informatics faculty and staff to expand and create innovative big data resources to enable data-driven translational science.,"Nashville, TN",TN,,,,
411,Data Analyst,US Federal Trade Commission,"Applicants must have (1) year of specialized experience equivalent to the GS-12 level using data analysis tools (SQL, PYTHON, R, etc) to build and execute data…","Washington, DC",DC,"$103,690 - $159,286 a year",,,
412,Data Scientist,AllianceBernstein,Present research findings at leading finance and data science conferences. This team serves as the Center of Excellence for data science initiatives and is…,"New York, NY",NY,,,,
413,Data Analyst,"Professional Solutions Delivered, LLC","Establish processes for data mining, reorganizing mined data, and preserving nuggets mined from the data. Develop processes and practices for organizing new…","Quantico, VA",VA,,,,
414,Data Scientist,Praescient Analytics,"Provide data science and advanced data analytics to support DHS OIG investigations. Transform strategic data requirements into data models, queries, and data…","Washington, DC",DC,"$50,000 - $250,000 a year",,,
415,Data Analyst,HK Tech,"Problem-solving with product and   BACHELOR  ness teams, advise executive team how to leverage data science across the company.",United States,US National,"$150,000 - $220,000 a year",,,BACHELOR
416,Data Analyst,Perez Art Museum Miami,"Technical understanding of data models, data  BACHELOR   design, data mining and segmentation techniques. Knowledge of common web frameworks for data VISUALIZATION such…","Miami, FL",FL,"$70,000 - $75,000 a year",,VISUALIZATION,BACHELOR
417,Data Scientist,"TurningPoint Healthcare Solutions, LLC","2+ years of experience in advanced data analytics. The ideal candidate will have hands-on experience with healthcare data, demonstrated innovative and creative…",United States,US National,,,,
418,Data Engineer,First Soft Solutions [ Direct],"  BACHELOR  c Understanding of data science concepts. 3+ Years of experience architecting and building Data Lake, Azure Big Data architecture, Enterprise Analytics…","New York, NY",NY,$35 - $77 an hour,,,BACHELOR
419,Data Analyst,AK Strategies LLC,"Develop and implement data  BACHELOR  s, VISUALIZATIONs, data collection systems, and data analytics to help the management with decision-making.","New York, NY",NY,,,,BACHELOR
420,Data Analyst,"Dfuse Technologies, Inc.","Maintains an operational level of knowledge in industry leading data architecture practices, technology and methods, including relational data  BACHELOR  , data…","Arlington, VA",VA,"$82,013 - $120,000 a year",,,BACHELOR
421,Data Scientist,Luxoft,"You will collaborate with   BACHELOR  ness and technology partners to grow and develop the data science practice. Identify and analyse data sources, whether internally…","New York, NY",NY,,,,BACHELOR
422,Data Scientist,Con,Person may also be engaged to advice on related data science projects in that same domain. Data science: 4 years (Preferred). ML Nice to Have.,"Sunnyvale, CA",CA,$70 - $94 an hour,,ML,
423,Data Analyst,"Tamayo Federal Solutions, LLC",Serve as data and metric processing subject matter expert also demonstrating and understanding key data management principles and data use.,"Portsmouth, VA",VA,,,,
424,Data Analyst,ASC,"3+ years of experience in data/  BACHELOR  ness/technical analysis,. • 3+ years of experience in data/  BACHELOR  ness/technical analysis. •  BACHELOR  in computer Science or IT.","Pennington, NJ",NJ,,,,BACHELOR
425,Data Scientist,Continental AG,Work up and present results with due regard to a different knowledge of stakeholder groups and leading data science projects.,"Fort Mill, SC",SC,,,,
426,Data Scientist,US National Geospatial-Intelligence Agency,"Data analysis techniques (e.g., data mining and retrieval); Effective data management, data dissemination, and online on-demand practices.","Arnold, MO",MO,"$65,597 - $134,798 a year",,,
427,Data Scientist,Syngenta,Experience applying data science in a scientific/R&D environment. Collaborate with data engineers to leverage Syngenta’s unique portfolio of diverse data assets…,"Durham, NC",NC,,,,
428,Data Analyst,MarketCast,"At least a   BACHELOR  ’s degree in the Social Sciences, Economics,   BACHELOR  ness, Marketing, STATISTICSs, or related fields. A pretty good handle on Microsoft Office.","New York, NY +1 location",NY,,,,BACHELOR
429,Data Scientist,"Big Data Federation, Inc.",Develop data science infrastructure tooling such as proprietary R packages. Collaborate with researchers to provide insights in data.,"Santa Clara, CA",CA,,,R,
430,Data Engineer,Sysvine Technologies Pvt Ltd,"Work closely with a data science team implementing data analytic pipelines. Work on ingesting, storing, processing and analyzing large data sets create scalable…","New York, NY",NY,"$65,267 - $90,000 a year",,,
431,Data Analyst,Excella,"Demonstrate understanding of relational data  BACHELOR  s, data architecture, and data modeling. Able to operationalize   BACHELOR  ness questions using data.","Arlington, VA",VA,"$100,000 - $135,000 a year",,,BACHELOR
432,Data Engineer,Micron Technology,"Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. Work with data and analytics experts to strive for greater…","Manassas, VA",VA,,,,
433,Data Analyst,Kagr Llc,Maintain and document work associated with analyses and data science products. Collect and process data to perform STATISTICSal analyses.,"Foxborough, MA",MA,,,,
434,Data Scientist,Advance Auto Parts,Minimum of 2 years of work experience in a data science related. Provide guidance and recommendations to leadership team in areas of analytics and data science.,"Raleigh, NC",NC,,,,
435,Data Engineer,Inspire11,"Extract data from multiple sources, integrate disparate data into a common data model, and integrate data into a target data  BACHELOR  , application, or file using…","Atlanta, GA +1 location",GA,,,,BACHELOR
436,Data Analyst,Google,"3 years of experience working in an analytical capacity in a management consulting, investment banking,   BACHELOR  ness intelligence, data science, or corporate…","Mountain View, CA",CA,,,,BACHELOR
437,Data Engineer,Airtable,"Work between our engineering organization and stakeholders from our data science, growth, sales, marketing, and product teams, to understand the data needs of…","San Francisco, CA",CA,,,,
438,Data Scientist,Øptimus Consulting,"Øptimus Consulting, a data science and software company, is seeking a full-time associate data scientist in their Washington D.C. area office.","Alexandria, VA",VA,,,,
439,Data Analyst,Mitre Corporation,"BS  MASTER  in analytics, data science, policy, engineering, or math field. Analysis of aviation safety and certification data to determine trends.","McLean, VA",VA,,,,MASTER
440,Data Analyst,Hulu,"Apply advanced analytics techniques (data mining, data VISUALIZATION, STATISTICSal analysis, ML) on large-scale, high-dimensional data to help…","Santa Monica, CA",CA,,,,
441,Data Analyst,North Carolina State University,"  BACHELOR  ’s degree and/or advanced certification in computer science, data science, or similar technical field; or 4 years of experience using software for data…","Raleigh, NC",NC,"$70,000 - $82,000 a year",,,BACHELOR
442,Data Scientist,Presbyterian Healthcare Services,"Provide support in creating/coding, designing and testing pilot data-driven predictive/descriptive analytical models. Health plan: 2 years (Preferred).",United States,US National,"$79,000 - $120,000 a year",,,
443,Data Analyst,ClinChoice Inc,"Develop SAS programmable edit checks to assist data monitoring, document and report data issue to Data Management with minimum supervision.","Fort Washington, PA",PA,,,,
444,Data Scientist,Atlas One,"Passion for high data quality and scaling data science work. Become a data expert in your   BACHELOR  ness domain and own data quality. Within 6 Months, You'll:",California,CA,,,,BACHELOR
445,Data Analyst,LPL Financial,"Partner with Technology on foundational data quality improvement and infrastructure, including the incorporation of new data sources and development of data…","Fort Mill, SC",SC,,,,
446,Data Scientist,Ampersand,The ideal candidate has extensive experience developing data intensive software as part of a data science or ML engineering group.,"New York, NY",NY,,,ML,
447,Data Scientist,Gemini,"1-3 years experience with data analysis & exploration. Data analytics tools (PYTHON pandas, R, or similar). Produce metrics to track the performance of the team…","New York, NY",NY,,,,
448,Data Scientist,SS&C Technologies,"Work collaboratively with our outsourcing service teams to define data strategy, identify critical data elements, and create data governance on those critical…","New York, NY",NY,,,,
449,Data Analyst,SCRRA/Metrolink,Must demonstrate the ability to collect and analyze data efficiently and work within established timelines. Assists with reviewing projects to identify critical…,"Los Angeles, CA",CA,"$55,778 - $87,161 a year",,,
450,Data Analyst,WINFertility,Proficiency in data VISUALIZATION tools including VISUALIZATION. Build new data architecture that interfaces with WIN’s proprietary systems and with publicly…,"Greenwich, CT",CT,,,VISUALIZATION,
451,Data Analyst,NYU Langone,Design and conduct analyses pertaining to data acquired thorough various data sources. Create descriptive data summaries including VISUALIZATIONs and written…,"New York, NY",NY,,,,
452,Data Analyst,"IntelliGenesis, LLC","Our benefits include: Medical, Dental and Vision Insurance, 25 days of PTO with the option to purchase up to an additional 5 days, 12 paid holidays, up to 10%…","Augusta, GA +1 location",GA,,,,
453,Data Analyst,Institute for Defense Analyses," MASTER  in STEM field plus military experience in logistics, supply, maintenance and data science skills.","Alexandria, VA",VA,,,,MASTER
454,Data Analyst,Publicis Groupe,Analytics and data science techniques that will be used to turn data into actions. Use APIs to import and push data across various systems.,"Miami, FL",FL,,,,
